iterations,avg_extended_size
0,10.0
1,10.0
2,10.0
3,10.0
4,10.0
5,10.0
6,10.0
7,10.0
8,10.0
9,10.0
10,10.2
11,10.2
12,10.2
13,10.2
14,10.2
15,10.2
16,10.2
17,10.36
18,10.45
19,10.45
20,10.45
21,10.45
22,10.45
23,10.45
24,10.45
25,10.54
26,10.54
27,10.54
28,10.54
29,10.61
30,10.61
31,10.61
32,10.61
33,10.61
34,10.61
35,10.61
36,10.61
37,10.61
38,10.61
39,10.61
40,10.68
41,10.68
42,10.78
43,10.78
44,10.78
45,10.78
46,10.78
47,10.78
48,10.78
49,10.78
50,10.78
51,10.78
52,10.78
53,10.78
54,10.87
55,10.87
56,10.87
57,10.96
58,10.96
59,10.96
60,11.06
61,11.06
62,11.06
63,11.06
64,11.06
65,11.06
66,11.27
67,11.35
68,11.35
69,11.35
70,11.45
71,11.45
72,11.45
73,11.45
74,11.45
75,11.53
76,11.53
77,11.53
78,11.53
79,11.53
80,11.53
81,11.53
82,11.53
83,11.63
84,11.63
85,11.63
86,11.63
87,11.72
88,11.72
89,11.72
90,11.72
91,11.72
92,11.72
93,11.72
94,11.72
95,11.72
96,11.72
97,11.72
98,11.82
99,11.82
100,12.0
101,12.09
102,12.09
103,12.09
104,12.16
105,12.36
106,12.36
107,12.36
108,12.36
109,12.36
110,12.45
111,12.54
112,12.54
113,12.54
114,12.63
115,12.63
116,12.71
117,12.81
118,12.81
119,12.81
120,12.81
121,12.9
122,12.9
123,12.9
124,12.9
125,12.9
126,12.9
127,12.9
128,13.07
129,13.07
130,13.28
131,13.28
132,13.38
133,13.38
134,13.38
135,13.38
136,13.48
137,13.48
138,13.48
139,13.48
140,13.57
141,13.66
142,13.66
143,13.66
144,13.66
145,13.66
146,13.66
147,13.66
148,13.75
149,13.75
150,13.84
151,13.92
152,13.92
153,13.92
154,13.99
155,13.99
156,13.99
157,13.99
158,13.99
159,14.09
160,14.09
161,14.09
162,14.09
163,14.09
164,14.17
165,14.17
166,14.17
167,14.25
168,14.25
169,14.34
170,14.34
171,14.34
172,14.34
173,14.34
174,14.34
175,14.34
176,14.34
177,14.34
178,14.34
179,14.34
180,14.53
181,14.6
182,14.6
183,14.68
184,14.68
185,14.76
186,14.85
187,14.85
188,14.85
189,14.85
190,14.94
191,14.94
192,14.94
193,15.04
194,15.11
195,15.11
196,15.18
197,15.18
198,15.18
199,15.27
200,15.27
201,15.34
202,15.34
203,15.43
204,15.43
205,15.43
206,15.43
207,15.53
208,15.59
209,15.59
210,15.59
211,15.68
212,15.68
213,15.86
214,15.93
215,15.93
216,15.93
217,16.02
218,16.02
219,16.12
220,16.12
221,16.12
222,16.12
223,16.12
224,16.12
225,16.12
226,16.12
227,16.12
228,16.21
229,16.31
230,16.39
231,16.39
232,16.55
233,16.55
234,16.7
235,16.7
236,16.93
237,17.02
238,17.15
239,17.24
240,17.24
241,17.34
242,17.43
243,17.43
244,17.64
245,17.64
246,17.73
247,17.8
248,17.8
249,17.8
250,17.9
251,17.99
252,18.13
253,18.13
254,18.2
255,18.32
256,18.38
257,18.38
258,18.42
259,18.42
260,18.58
261,18.66
262,18.83
263,18.83
264,18.83
265,18.83
266,18.92
267,19.01
268,19.1
269,19.1
270,19.19
271,19.19
272,19.27
273,19.45
274,19.45
275,19.53
276,19.53
277,19.69
278,19.78
279,19.86
280,19.95
281,20.02
282,20.12
283,20.2
284,20.42
285,20.42
286,20.51
287,20.58
288,20.58
289,20.58
290,20.65
291,20.83
292,20.92
293,20.99
294,21.18
295,21.27
296,21.27
297,21.27
298,21.35
299,21.43
300,21.43
301,21.43
302,21.51
303,21.66
304,21.73
305,21.82
306,21.97
307,21.97
308,21.97
309,22.03
310,22.09
311,22.33
312,22.33
313,22.48
314,22.54
315,22.54
316,22.63
317,22.76
318,22.76
319,22.76
320,22.76
321,22.86
322,23.02
323,23.29
324,23.29
325,23.44
326,23.58
327,23.58
328,23.65
329,23.88
330,23.88
331,23.96
332,23.96
333,24.03
334,24.11
335,24.11
336,24.19
337,24.35
338,24.45
339,24.45
340,24.45
341,24.49
342,24.56
343,24.56
344,24.8
345,25.16
346,25.24
347,25.24
348,25.24
349,25.24
350,25.32
351,25.46
352,25.65
353,25.79
354,25.79
355,25.89
356,25.89
357,26.09
358,26.09
359,26.27
360,26.61
361,26.68
362,26.68
363,26.68
364,26.76
365,27.03
366,27.03
367,27.03
368,27.03
369,27.07
370,27.07
371,27.15
372,27.15
373,27.43
374,27.53
375,27.63
376,27.63
377,27.77
378,27.96
379,28.04
380,28.27
381,28.27
382,28.27
383,28.27
384,28.38
385,28.59
386,28.73
387,28.73
388,28.92
389,29.07
390,29.41
391,29.77
392,29.81
393,29.81
394,29.92
395,29.92
396,30.11
397,30.11
398,30.36
399,30.36
400,30.58
401,30.65
402,30.78
403,30.87
404,30.87
405,31.0
406,31.0
407,31.0
408,31.23
409,31.27
410,31.66
411,31.81
412,31.96
413,32.14
414,32.42
415,32.71
416,32.79
417,32.89
418,32.97
419,33.14
420,33.32
421,33.46
422,33.61
423,33.97
424,34.06
425,34.06
426,34.15
427,34.43
428,34.51
429,34.59
430,34.59
431,34.66
432,34.83
433,34.83
434,35.24
435,35.4
436,35.73
437,35.91
438,35.91
439,35.99
440,36.35
441,36.35
442,36.63
443,36.91
444,37.1
445,37.16
446,37.56
447,37.71
448,38.0
449,38.23
450,38.39
451,38.54
452,38.64
453,38.72
454,38.99
455,39.21
456,39.21
457,39.41
458,39.66
459,39.87
460,40.14
461,40.14
462,40.23
463,40.23
464,40.36
465,40.59
466,40.84
467,40.98
468,41.1
469,41.18
470,41.46
471,41.67
472,41.94
473,42.14
474,42.28
475,42.58
476,42.85
477,43.06
478,43.27
479,43.45
480,43.57
481,43.77
482,43.99
483,44.29
484,44.39
485,44.42
486,44.51
487,44.76
488,44.85
489,44.85
490,45.03
491,45.14
492,45.51
493,45.66
494,45.7
495,45.96
496,46.17
497,46.38
498,46.69
499,46.84
500,46.84
501,47.18
502,47.55
503,47.77
504,48.04
505,48.04
506,48.25
507,48.53
508,48.6
509,48.86
510,49.04
511,49.33
512,49.33
513,49.66
514,49.74
515,49.92
516,49.92
517,50.12
518,50.34
519,50.68
520,50.99
521,51.26
522,51.38
523,51.66
524,51.95
525,52.29
526,52.59
527,52.86
528,53.22
529,53.51
530,53.77
531,54.06
532,54.34
533,54.49
534,54.76
535,54.98
536,55.39
537,55.62
538,55.88
539,56.05
540,56.3
541,56.51
542,56.76
543,57.01
544,57.2
545,57.55
546,57.8
547,58.02
548,58.37
549,58.68
550,59.05
551,59.44
552,59.7
553,59.83
