iterations,avg_extended_size
0,10.0
1,10.09
2,10.09
3,10.09
4,10.09
5,10.09
6,10.09
7,10.09
8,10.09
9,10.17
10,10.17
11,10.17
12,10.17
13,10.26
14,10.26
15,10.36
16,10.36
17,10.36
18,10.36
19,10.36
20,10.36
21,10.36
22,10.36
23,10.36
24,10.36
25,10.45
26,10.45
27,10.45
28,10.45
29,10.45
30,10.45
31,10.45
32,10.45
33,10.45
34,10.45
35,10.45
36,10.45
37,10.45
38,10.55
39,10.55
40,10.55
41,10.55
42,10.55
43,10.55
44,10.64
45,10.64
46,10.64
47,10.73
48,10.82
49,10.89
50,10.89
51,10.89
52,10.89
53,10.89
54,10.89
55,10.98
56,10.98
57,10.98
58,11.07
59,11.07
60,11.07
61,11.07
62,11.07
63,11.07
64,11.07
65,11.15
66,11.23
67,11.23
68,11.23
69,11.39
70,11.39
71,11.39
72,11.39
73,11.39
74,11.39
75,11.39
76,11.39
77,11.48
78,11.48
79,11.48
80,11.48
81,11.48
82,11.48
83,11.56
84,11.56
85,11.56
86,11.64
87,11.73
88,11.73
89,11.73
90,11.83
91,11.83
92,11.83
93,11.92
94,12.0
95,12.1
96,12.1
97,12.19
98,12.19
99,12.19
100,12.19
101,12.29
102,12.47
103,12.56
104,12.56
105,12.56
106,12.56
107,12.72
108,12.72
109,12.72
110,12.72
111,12.72
112,12.82
113,12.91
114,12.91
115,12.91
116,12.91
117,12.91
118,12.91
119,12.91
120,12.91
121,12.91
122,13.01
123,13.1
124,13.1
125,13.29
126,13.29
127,13.37
128,13.37
129,13.37
130,13.37
131,13.37
132,13.37
133,13.37
134,13.37
135,13.46
136,13.56
137,13.64
138,13.64
139,13.74
140,13.74
141,13.74
142,13.74
143,13.83
144,13.91
145,13.91
146,13.91
147,13.91
148,13.91
149,14.07
150,14.15
151,14.15
152,14.15
153,14.15
154,14.15
155,14.15
156,14.24
157,14.45
158,14.45
159,14.45
160,14.53
161,14.53
162,14.53
163,14.61
164,14.61
165,14.61
166,14.78
167,14.86
168,14.86
169,14.95
170,14.95
171,14.95
172,14.95
173,14.95
174,14.95
175,14.95
176,14.95
177,15.1
178,15.1
179,15.1
180,15.2
181,15.2
182,15.29
183,15.29
184,15.29
185,15.29
186,15.34
187,15.34
188,15.34
189,15.44
190,15.55
191,15.62
192,15.62
193,15.7
194,15.8
195,15.8
196,15.8
197,15.88
198,15.88
199,15.88
200,15.88
201,15.96
202,16.12
203,16.26
204,16.26
205,16.35
206,16.35
207,16.35
208,16.35
209,16.45
210,16.55
211,16.55
212,16.63
213,16.63
214,16.63
215,16.71
216,16.71
217,16.71
218,16.71
219,16.71
220,16.71
221,16.71
222,16.92
223,16.92
