"iterations","avg_extended_size","fit"
0,10,12.9791559638063
1,10.09,12.9822155482153
2,10.09,12.9853074403643
3,10.09,12.9884319791399
4,10.09,12.9915895069351
5,10.09,12.9947803696845
6,10.09,12.9980049168999
7,10.09,13.0012635017063
8,10.09,13.0045564808782
9,10.17,13.0078842148758
10,10.17,13.0112470678825
11,10.17,13.0146454078419
12,10.17,13.0180796064953
13,10.26,13.0215500394199
14,10.26,13.0250570860671
15,10.36,13.0286011298011
16,10.36,13.0321825579382
17,10.36,13.0358017617857
18,10.36,13.0394591366822
19,10.36,13.0431550820376
20,10.36,13.0468900013735
21,10.36,13.050664302364
22,10.36,13.0544783968775
23,10.36,13.0583327010175
24,10.36,13.0622276351654
25,10.45,13.0661636240225
26,10.45,13.0701410966529
27,10.45,13.0741604865266
28,10.45,13.0782222315633
29,10.45,13.082326774176
30,10.45,13.0864745613159
31,10.45,13.0906660445166
32,10.45,13.0949016799396
33,10.45,13.0991819284198
34,10.45,13.1035072555117
35,10.45,13.1078781315353
36,10.45,13.1122950316234
37,10.45,13.1167584357686
38,10.55,13.1212688288711
39,10.55,13.1258267007867
40,10.55,13.1304325463751
41,10.55,13.1350868655492
42,10.55,13.1397901633242
43,10.55,13.1445429498676
44,10.64,13.1493457405492
45,10.64,13.1541990559918
46,10.64,13.1591034221228
47,10.73,13.1640593702249
48,10.82,13.1690674369889
49,10.89,13.1741281645656
50,10.89,13.1792421006192
51,10.89,13.1844097983803
52,10.89,13.1896318166997
53,10.89,13.1949087201032
54,10.89,13.2002410788456
55,10.98,13.2056294689666
56,10.98,13.2110744723461
57,10.98,13.2165766767603
58,11.07,13.2221366759388
59,11.07,13.2277550696211
60,11.07,13.2334324636147
61,11.07,13.239169469853
62,11.07,13.2449667064535
63,11.07,13.2508247977775
64,11.07,13.2567443744893
65,11.15,13.2627260736159
66,11.23,13.2687705386082
67,11.23,13.2748784194014
68,11.23,13.2810503724768
69,11.39,13.2872870609241
70,11.39,13.293589154503
