f,b,m
3,0.0035634399455885084,250.0803959981737
4,0.004912301315515616,250.21605671349772
5,0.010256207129844151,570.3563617007609
6,0.01422746209634062,642.4397124633499
7,0.01423115255037461,601.251630398956
8,0.014969353328658386,634.0047182135521
9,0.013214071944192381,577.0836345621319
10,0.010841757012816011,512.255623553453
11,0.010569964265412405,512.52323699979
12,0.01164098327159898,450.8454979788048
13,0.011648755445266676,427.0855846506859
14,0.012601391541582853,354.3162633122341
15,0.01250267562840332,328.80683679502556
16,0.012718200643286442,308.18233445218374
17,0.013456955031117485,298.9669497171244
18,0.01429561769643425,266.7983223910834
19,0.013557170026672193,252.3671126313089
20,0.013525535198677373,268.7458800675274
21,0.014386994138302939,249.98981255764818
22,0.015655495260394003,226.3374467549594
23,0.014408111244057137,227.47139536612022
24,0.015903659224125507,231.4496124622004
25,0.014502403112363954,208.79430925301668
26,0.015734246304617523,200.2045419758524
27,0.017662613932323004,194.37549289455927
28,0.017000705051068023,196.42248364888448
29,0.017339783242707345,177.69898593340668
30,0.01778738699688709,170.66054866800107
31,0.01762675220864209,163.99232345840795
32,0.01774035539272211,162.11681875838315
33,0.019682919781378674,146.13287967976876
34,0.018408384219849874,160.78261339382166
35,0.019098170790205243,149.84835024426272
36,0.021323631808082985,132.48914843694115
37,0.02069225619566826,124.4167878659345
38,0.020296870881483856,126.87953124404483
39,0.01996477386404698,122.45179951223642
40,0.019532013065623677,125.86278094003664
41,0.022072515649294123,115.15036060985592
42,0.02064853132730851,123.90386827941363
43,0.023306494121967645,107.89545425550601
44,0.021952437353458414,106.96180352582326
45,0.022600400033461088,116.15457946754981
46,0.021634077550251755,109.87946830886709
47,0.023393428252750082,99.59599129695782
48,0.021357277159742123,106.91692627071929
49,0.02415725662435328,97.81643183027812
50,0.022626658765885124,100.87927313981729
51,0.024095194546232962,98.12513962847639
52,0.023645630576532854,98.80480577957748
53,0.025027892078182106,94.06374832966166
54,0.02470760071522179,89.95549027985206
55,0.02330917837934253,92.55012322593105
56,0.0257501260234637,87.20118842315435
57,0.025602432101515714,81.12666528024145
58,0.026569338042329877,87.4985884136248
59,0.026295212472670325,86.42355305239467
