iterations,f=3,f=4,f=5,f=6,f=7,f=8,f=9,f=10
0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
1,3.0,4.0,5.04,6.05,7.0,8.0,9.0,10.0
2,3.0,4.03,5.04,6.05,7.05,8.0,9.0,10.0
3,3.0,4.03,5.04,6.05,7.05,8.0,9.0,10.2
4,3.0,4.03,5.04,6.05,7.12,8.0,9.0,10.2
5,3.0,4.03,5.04,6.1,7.12,8.0,9.0,10.2
6,3.0,4.03,5.04,6.1,7.12,8.0,9.0,10.2
7,3.0,4.03,5.04,6.1,7.12,8.0,9.0,10.2
8,3.03,4.03,5.04,6.1,7.12,8.08,9.0,10.2
9,3.03,4.03,5.04,6.1,7.12,8.08,9.06,10.2
10,3.03,4.03,5.04,6.1,7.12,8.08,9.14,10.2
11,3.03,4.03,5.04,6.1,7.12,8.08,9.14,10.2
12,3.03,4.03,5.04,6.1,7.19,8.08,9.14,10.29
13,3.03,4.03,5.04,6.1,7.19,8.08,9.14,10.29
14,3.03,4.03,5.04,6.1,7.19,8.08,9.14,10.29
15,3.03,4.03,5.04,6.1,7.19,8.08,9.14,10.39
16,3.03,4.03,5.04,6.1,7.19,8.08,9.14,10.49
17,3.03,4.03,5.09,6.1,7.19,8.08,9.22,10.49
18,3.03,4.03,5.09,6.1,7.19,8.08,9.31,10.49
19,3.03,4.03,5.09,6.1,7.19,8.16,9.31,10.49
20,3.03,4.03,5.09,6.1,7.19,8.23,9.31,10.65
21,3.03,4.03,5.09,6.14,7.19,8.23,9.31,10.65
22,3.03,4.03,5.09,6.14,7.19,8.23,9.31,10.65
23,3.03,4.03,5.09,6.14,7.19,8.23,9.31,10.65
24,3.03,4.03,5.09,6.14,7.19,8.31,9.31,10.65
25,3.03,4.03,5.09,6.14,7.19,8.31,9.31,10.65
26,3.03,4.03,5.09,6.18,7.26,8.31,9.31,10.65
27,3.03,4.03,5.09,6.18,7.32,8.39,9.31,10.65
28,3.03,4.03,5.09,6.18,7.32,8.39,9.31,10.73
29,3.03,4.03,5.09,6.18,7.32,8.46,9.31,10.73
30,3.03,4.03,5.09,6.18,7.32,8.46,9.4,10.73
31,3.03,4.07,5.09,6.18,7.44,8.46,9.4,10.83
32,3.03,4.07,5.09,6.18,7.49,8.53,9.4,10.83
33,3.03,4.07,5.09,6.18,7.49,8.53,9.4,10.83
34,3.03,4.07,5.09,6.18,7.49,8.6,9.4,10.83
35,3.03,4.07,5.09,6.18,7.49,8.6,9.4,10.83
36,3.06,4.07,5.09,6.18,7.49,8.68,9.4,10.83
37,3.09,4.07,5.09,6.18,7.49,8.68,9.4,10.83
38,3.09,4.07,5.09,6.18,7.49,8.76,9.49,10.83
39,3.09,4.07,5.09,6.18,7.49,8.81,9.49,10.83
40,3.09,4.07,5.09,6.18,7.49,8.81,9.57,10.83
41,3.09,4.07,5.09,6.18,7.49,8.81,9.57,10.83
42,3.09,4.07,5.09,6.18,7.49,8.89,9.57,10.83
43,3.12,4.07,5.09,6.18,7.49,8.89,9.57,10.83
44,3.12,4.07,5.09,6.18,7.49,8.89,9.66,10.83
45,3.12,4.11,5.09,6.18,7.49,8.89,9.66,10.93
46,3.12,4.11,5.09,6.18,7.49,8.89,9.66,11.02
47,3.12,4.11,5.09,6.18,7.49,8.89,9.66,11.02
48,3.12,4.11,5.09,6.18,7.49,8.89,9.66,11.02
49,3.12,4.11,5.09,6.18,7.49,8.89,9.66,11.02
50,3.12,4.11,5.09,6.18,7.56,8.89,9.66,11.12
51,3.12,4.11,5.09,6.18,7.56,8.89,9.66,11.12
52,3.12,4.11,5.09,6.18,7.56,8.89,9.75,11.21
53,3.12,4.11,5.09,6.18,7.56,8.89,9.75,11.31
54,3.12,4.11,5.09,6.18,7.56,8.89,9.75,11.31
55,3.12,4.11,5.09,6.18,7.56,8.89,9.75,11.38
56,3.12,4.11,5.09,6.18,7.56,8.89,9.75,11.38
57,3.12,4.11,5.09,6.18,7.62,8.89,9.75,11.46
58,3.12,4.11,5.09,6.18,7.69,8.89,9.83,11.46
59,3.12,4.11,5.09,6.18,7.69,8.89,9.83,11.46
60,3.12,4.11,5.09,6.18,7.69,8.89,9.92,11.46
61,3.12,4.11,5.09,6.18,7.69,8.97,9.92,11.46
62,3.12,4.11,5.09,6.24,7.69,8.97,9.92,11.46
63,3.12,4.11,5.09,6.24,7.75,9.05,9.92,11.46
64,3.12,4.11,5.09,6.24,7.75,9.05,9.92,11.46
65,3.12,4.11,5.14,6.3,7.75,9.05,10.0,11.46
66,3.12,4.11,5.14,6.3,7.75,9.05,10.0,11.46
67,3.12,4.11,5.14,6.3,7.82,9.05,10.09,11.46
68,3.12,4.11,5.14,6.36,7.82,9.05,10.17,11.56
69,3.12,4.11,5.14,6.36,7.82,9.13,10.17,11.56
70,3.12,4.11,5.14,6.36,7.82,9.13,10.17,11.63
71,3.12,4.11,5.14,6.36,7.82,9.13,10.17,11.63
72,3.12,4.11,5.14,6.36,7.82,9.13,10.17,11.63
73,3.12,4.11,5.14,6.42,7.82,9.13,10.17,11.73
74,3.12,4.11,5.14,6.42,7.82,9.19,10.17,11.73
75,3.12,4.11,5.14,6.42,7.82,9.19,10.17,11.73
76,3.12,4.11,5.14,6.42,7.82,9.19,10.17,11.73
77,3.12,4.11,5.14,6.42,7.82,9.19,10.26,11.8
78,3.12,4.11,5.14,6.42,7.82,9.19,10.26,11.89
79,3.12,4.11,5.14,6.42,7.82,9.19,10.26,11.89
80,3.12,4.15,5.19,6.42,7.82,9.26,10.26,11.89
81,3.12,4.15,5.19,6.42,7.82,9.26,10.35,11.89
82,3.12,4.15,5.19,6.42,7.82,9.34,10.35,11.89
83,3.12,4.15,5.19,6.42,7.82,9.41,10.35,11.89
84,3.15,4.15,5.19,6.42,7.89,9.41,10.35,11.98
85,3.15,4.15,5.19,6.42,7.89,9.49,10.35,11.98
86,3.15,4.15,5.19,6.42,7.89,9.49,10.35,12.07
87,3.15,4.15,5.19,6.42,7.89,9.49,10.35,12.07
88,3.15,4.15,5.19,6.42,7.89,9.49,10.35,12.07
89,3.15,4.15,5.19,6.42,7.95,9.49,10.35,12.07
90,3.15,4.15,5.19,6.42,7.95,9.49,10.35,12.15
91,3.15,4.15,5.24,6.42,8.01,9.49,10.35,12.15
92,3.15,4.15,5.29,6.42,8.01,9.49,10.43,12.15
93,3.15,4.19,5.29,6.42,8.15,9.55,10.5,12.24
94,3.18,4.19,5.29,6.42,8.15,9.7,10.5,12.24
95,3.18,4.19,5.29,6.42,8.22,9.7,10.5,12.24
96,3.18,4.19,5.29,6.42,8.22,9.78,10.64,12.41
97,3.18,4.19,5.29,6.52,8.22,9.78,10.72,12.41
98,3.18,4.19,5.29,6.52,8.22,9.78,10.88,12.51
99,3.18,4.19,5.29,6.52,8.22,9.85,10.88,12.66
100,3.21,4.19,5.29,6.58,8.22,9.85,10.88,12.66
101,3.21,4.19,5.34,6.58,8.22,9.85,10.97,12.66
102,3.21,4.19,5.34,6.58,8.22,9.85,10.97,12.66
103,3.21,4.19,5.34,6.58,8.29,9.93,10.97,12.66
104,3.21,4.19,5.34,6.58,8.29,9.93,11.06,12.66
105,3.21,4.19,5.34,6.58,8.36,9.93,11.06,12.66
106,3.21,4.19,5.39,6.58,8.36,9.93,11.06,12.83
107,3.21,4.19,5.39,6.58,8.43,9.93,11.06,12.83
108,3.21,4.19,5.43,6.58,8.43,9.99,11.06,13.03
109,3.21,4.19,5.43,6.58,8.43,9.99,11.15,13.1
110,3.24,4.19,5.43,6.58,8.49,9.99,11.15,13.1
111,3.24,4.19,5.43,6.58,8.49,10.06,11.15,13.17
112,3.24,4.19,5.43,6.63,8.49,10.06,11.15,13.17
113,3.24,4.19,5.43,6.63,8.49,10.06,11.15,13.17
114,3.24,4.22,5.48,6.63,8.49,10.14,11.15,13.17
115,3.24,4.22,5.48,6.63,8.49,10.14,11.22,13.17
116,3.24,4.22,5.48,6.69,8.49,10.14,11.31,13.17
117,3.24,4.22,5.48,6.75,8.49,10.14,11.31,13.27
118,3.24,4.22,5.48,6.75,8.56,10.14,11.31,13.36
119,3.27,4.22,5.48,6.75,8.63,10.22,11.4,13.36
120,3.27,4.22,5.48,6.75,8.63,10.22,11.4,13.36
121,3.3,4.22,5.48,6.75,8.63,10.22,11.4,13.36
122,3.3,4.26,5.48,6.75,8.63,10.22,11.4,13.36
123,3.3,4.3,5.48,6.75,8.63,10.26,11.4,13.36
124,3.3,4.34,5.48,6.75,8.63,10.26,11.4,13.46
125,3.3,4.34,5.48,6.75,8.63,10.26,11.47,13.54
126,3.3,4.34,5.48,6.75,8.63,10.26,11.47,13.54
127,3.3,4.34,5.48,6.75,8.63,10.26,11.47,13.71
128,3.3,4.34,5.53,6.75,8.63,10.26,11.65,13.71
129,3.3,4.34,5.53,6.75,8.63,10.26,11.65,13.71
130,3.3,4.34,5.53,6.75,8.63,10.26,11.72,13.8
131,3.3,4.38,5.53,6.81,8.63,10.26,11.72,13.8
132,3.3,4.38,5.53,6.87,8.63,10.26,11.72,13.8
133,3.3,4.38,5.53,6.87,8.63,10.26,11.72,13.8
134,3.3,4.38,5.53,6.92,8.7,10.26,11.72,13.9
135,3.3,4.38,5.53,6.92,8.7,10.26,11.76,13.9
136,3.3,4.38,5.53,6.92,8.7,10.26,11.83,13.9
137,3.3,4.38,5.57,6.92,8.84,10.26,11.83,14.0
138,3.3,4.38,5.57,6.92,8.84,10.26,11.83,14.0
139,3.3,4.38,5.62,6.92,8.84,10.26,11.9,14.09
140,3.3,4.38,5.62,6.92,8.84,10.33,11.99,14.18
141,3.3,4.38,5.62,6.92,8.84,10.4,11.99,14.18
142,3.3,4.38,5.62,6.92,8.87,10.4,11.99,14.26
143,3.3,4.38,5.62,6.92,8.87,10.45,12.08,14.26
144,3.3,4.38,5.62,6.92,8.87,10.45,12.16,14.26
145,3.3,4.42,5.66,6.92,8.87,10.52,12.29,14.35
146,3.3,4.42,5.66,6.92,8.87,10.52,12.37,14.42
147,3.33,4.42,5.66,6.92,8.87,10.52,12.37,14.42
148,3.33,4.42,5.66,6.98,8.87,10.52,12.37,14.42
