b,m,ssr
0.0,0,1273.7129231000001
0.0,10,1273.7129231000001
0.0,20,1273.7129231000001
0.0,30,1273.7129231000001
0.0,40,1273.7129231000001
0.0,50,1273.7129231000001
0.0,60,1273.7129231000001
0.0,70,1273.7129231000001
0.0,80,1273.7129231000001
0.0,90,1273.7129231000001
0.0,100,1273.7129231000001
0.0,110,1273.7129231000001
0.0,120,1273.7129231000001
0.0,130,1273.7129231000001
0.0,140,1273.7129231000001
0.0,150,1273.7129231000001
0.0,160,1273.7129231000001
0.0,170,1273.7129231000001
0.0,180,1273.7129231000001
0.0,190,1273.7129231000001
0.0,200,1273.7129231000001
0.0,210,1273.7129231000001
0.0,220,1273.7129231000001
0.0,230,1273.7129231000001
0.0,240,1273.7129231000001
0.0,250,1273.7129231000001
0.0,260,1273.7129231000001
0.0,270,1273.7129231000001
0.0,280,1273.7129231000001
0.0,290,1273.7129231000001
0.0,300,1273.7129231000001
0.0,310,1273.7129231000001
0.0,320,1273.7129231000001
0.0,330,1273.7129231000001
0.0,340,1273.7129231000001
0.0,350,1273.7129231000001
0.0,360,1273.7129231000001
0.0,370,1273.7129231000001
0.0,380,1273.7129231000001
0.0,390,1273.7129231000001
0.0,400,1273.7129231000001
0.0,410,1273.7129231000001
0.0,420,1273.7129231000001
0.0,430,1273.7129231000001
0.0,440,1273.7129231000001
0.0,450,1273.7129231000001
0.0,460,1273.7129231000001
0.0,470,1273.7129231000001
0.0,480,1273.7129231000001
0.0,490,1273.7129231000001
0.0,500,1273.7129231000001
0.0,510,1273.7129231000001
0.0,520,1273.7129231000001
0.0,530,1273.7129231000001
0.0,540,1273.7129231000001
0.0,550,1273.7129231000001
0.0,560,1273.7129231000001
0.0,570,1273.7129231000001
0.0,580,1273.7129231000001
0.0,590,1273.7129231000001
0.0,600,1273.7129231000001
0.0,610,1273.7129231000001
0.0,620,1273.7129231000001
0.0,630,1273.7129231000001
0.0,640,1273.7129231000001
0.0,650,1273.7129231000001
0.0,660,1273.7129231000001
0.0,670,1273.7129231000001
0.0,680,1273.7129231000001
0.0,690,1273.7129231000001
0.0,700,1273.7129231000001
0.0,710,1273.7129231000001
0.0,720,1273.7129231000001
0.0,730,1273.7129231000001
0.0,740,1273.7129231000001
0.0,750,1273.7129231000001
0.0,760,1273.7129231000001
0.0,770,1273.7129231000001
0.0,780,1273.7129231000001
0.0,790,1273.7129231000001
0.0,800,1273.7129231000001
0.0,810,1273.7129231000001
0.0,820,1273.7129231000001
0.0,830,1273.7129231000001
0.0,840,1273.7129231000001
0.0,850,1273.7129231000001
0.0,860,1273.7129231000001
0.0,870,1273.7129231000001
0.0,880,1273.7129231000001
0.0,890,1273.7129231000001
0.0,900,1273.7129231000001
0.0,910,1273.7129231000001
0.0,920,1273.7129231000001
